taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1135,Animalia,Aves,Psittacidae,Pezoporus wallicus wallicus,ground parrot,"(Kerr, 1792)",V,Y,N,Vulnerable,Intranational,
1117,Animalia,Aves,Psittacidae,Psephotus chrysopterygius,golden-shouldered parrot,"Gould, 1858",E,Y,N,Endangered,Queensland Endemic,Endangered
1119,Animalia,Aves,Psittacidae,Psephotus pulcherrimus,paradise parrot,"Gould, 1845",PE,Y,N,Extinct in the wild,Intranational,Extinct
1736,Animalia,Aves,Cuculidae,Cuculus optatus,oriental cuckoo,"Blyth, 1843",SL,Y,N,Special least concern,Not Endemic to Australia,
1104,Animalia,Aves,Strigidae,Ninox rufa meesi,rufous owl (Cape York subspecies),"Mason & Schodde, 1980",NT,Y,N,Near Threatened,Queensland Endemic,
1107,Animalia,Aves,Strigidae,Ninox strenua,powerful owl,"(Gould, 1838)",V,Y,N,Vulnerable,Intranational,
1097,Animalia,Aves,Tytonidae,Tyto novaehollandiae kimberli,masked owl (northern subspecies),"Mathews, 1912",V,Y,N,Vulnerable,Intranational,Vulnerable
1467,Animalia,Aves,Menuridae,Menura alberti,Albert's lyrebird,"Bonaparte, 1851",NT,Y,N,Near Threatened,Intranational,
1632,Animalia,Aves,Atrichornithidae,Atrichornis rufescens,rufous scrub-bird,"(Ramsay, 1867)",V,Y,Y,Vulnerable,Intranational,Endangered
22456,Animalia,Aves,Climacteridae,Climacteris picumnus victoriae,brown treecreeper (south-eastern),"Mathews, 1912",V,Y,N,Vulnerable,Intranational,
1563,Animalia,Aves,Maluridae,Amytornis barbatus,grey grasswren,"Favaloro & McEvey, 1968",NT,Y,Y,Near Threatened,Intranational,
29885,Animalia,Aves,Maluridae,Amytornis barbatus barbatus,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",E,Y,Y,Endangered,Intranational,Endangered
29886,Animalia,Aves,Maluridae,Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),"Schodde & Christidis, 1987",NT,Y,Y,Near Threatened,Intranational,
1564,Animalia,Aves,Maluridae,Amytornis dorotheae,Carpentarian grasswren,"(Mathews, 1914)",E,Y,Y,Endangered,Intranational,Endangered
1568,Animalia,Aves,Maluridae,Amytornis rowleyi,rusty grasswren,"(Gould, 1840)",NT,Y,Y,Near Threatened,Intranational,
1569,Animalia,Aves,Maluridae,Malurus coronatus,purple-crowned fairy-wren,"Gould, 1858",V,Y,N,Vulnerable,Intranational,
1549,Animalia,Aves,Maluridae,Stipiturus malachurus,southern emu-wren,"(Shaw, 1798)",V,Y,Y,Vulnerable,Intranational,
