"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","S P R A T_listed_ I D","Infraspecies_ Author","family","genus","specificEpithet","Infraspecific Epithet","Profile","N S L_ Name","vernacular name","N T","A C T","infraspecificRank","_class","N F I","kingdom","C S I","H M I","A A T","Current_ S P R A T_ I D","Current_ Scientific_ Name_in_ S P R A T","status","V I C","N S W","Q L D","W A","C M A","T A S","S A","A C I","C K I","C I","J B T","Date_extracted"
"Amyema plicatula","https://id.biodiversity.org.au/node/apni/2913319","Amyema plicatula","Loranthaceae",,"(K.Krause) Danser","81879","-","Loranthaceae","Amyema","plicatula","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81879"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81879</a>","<a href=""https://id.biodiversity.org.au/name/apni/154737"">https://id.biodiversity.org.au/name/apni/154737</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Eriocaulon carsonii","https://id.biodiversity.org.au/node/apni/2913779","Eriocaulon carsonii","Eriocaulaceae",,"F.Muell.","10584","-","Eriocaulaceae","Eriocaulon","carsonii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10584"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10584</a>","<a href=""https://id.biodiversity.org.au/name/apni/88859"">https://id.biodiversity.org.au/name/apni/88859</a>","Salt Pipewort, Button Grass","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","Yes","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Asplenium wildii","https://id.biodiversity.org.au/node/apni/2889223","Asplenium wildii","Aspleniaceae",,"F.M.Bailey","19154","-","Aspleniaceae","Asplenium","wildii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19154"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19154</a>","<a href=""https://id.biodiversity.org.au/name/apni/106144"">https://id.biodiversity.org.au/name/apni/106144</a>","-","-","-","-","Polypodiatae","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Prasophyllum tunbridgense","https://id.biodiversity.org.au/node/apni/2913837","Prasophyllum tunbridgense","Orchidaceae",,"D.L. Jones","64957","-","Orchidaceae","Prasophyllum","tunbridgense","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64957"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64957</a>","<a href=""https://id.biodiversity.org.au/name/apni/172472"">https://id.biodiversity.org.au/name/apni/172472</a>","Tunbridge Leek-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","Yes","-","-","-","-","-","2019-Jul-04"
"Acacia denticulosa","https://id.biodiversity.org.au/node/apni/2916341","Acacia denticulosa","Fabaceae",,"F.Muell.","20600","-","Fabaceae","Acacia","denticulosa","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20600"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20600</a>","<a href=""https://id.biodiversity.org.au/name/apni/61680"">https://id.biodiversity.org.au/name/apni/61680</a>","Sandpaper Wattle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Eryngium fontanum","https://id.biodiversity.org.au/node/apni/2907131","Eryngium fontanum","Apiaceae",,"-","64516","-","Apiaceae","Eryngium","fontanum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64516"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64516</a>","<a href=""https://id.biodiversity.org.au/name/apni/154587"">https://id.biodiversity.org.au/name/apni/154587</a>","Blue Devil","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Verticordia carinata","https://id.biodiversity.org.au/node/apni/2892630","Verticordia carinata","Myrtaceae",,"Turcz.","24342","-","Myrtaceae","Verticordia","carinata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24342"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24342</a>","<a href=""https://id.biodiversity.org.au/name/apni/85122"">https://id.biodiversity.org.au/name/apni/85122</a>","Stirling Range Featherflower","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Caladenia formosa","https://id.biodiversity.org.au/node/apni/2888253","Caladenia formosa","Orchidaceae",,"G.W.Carr","24370","-","Orchidaceae","Caladenia","formosa","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24370"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24370</a>","<a href=""https://id.biodiversity.org.au/name/apni/119060"">https://id.biodiversity.org.au/name/apni/119060</a>","Elegant Spider-orchid, Blood-red Spider-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","Yes","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Bertmainius tingle","urn:lsid:biodiversity.org.au:afd.taxon:d4e330b6-4396-4796-b9ba-2344291cee5b","Bertmainius tingle","Migidae",,"Main, 1991","89126","-","Migidae","Bertmainius","tingle","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89126"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89126</a>","-","Tingle Pygmy Trapdoor Spider","-","-","-","Arachnida","-","Animalia","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Macrozamia platyrhachis","https://id.biodiversity.org.au/node/apni/2895463","Macrozamia platyrhachis","Zamiaceae",,"F.M.Bailey","3412","-","Zamiaceae","Macrozamia","platyrhachis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3412"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3412</a>","<a href=""https://id.biodiversity.org.au/name/apni/59847"">https://id.biodiversity.org.au/name/apni/59847</a>","cycad","-","-","-","Cycadatae","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Triunia robusta","https://id.biodiversity.org.au/taxon/apni/51293572","Triunia robusta","Proteaceae",,"(C.T.White) Foreman","14747","-","Proteaceae","Triunia","robusta","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14747"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14747</a>","<a href=""https://id.biodiversity.org.au/name/apni/89304"">https://id.biodiversity.org.au/name/apni/89304</a>","Glossy Spice Bush","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Lambertia orbifolia","https://id.biodiversity.org.au/node/apni/2910293","Lambertia orbifolia","Proteaceae",,"C.Gardner","15725","-","Proteaceae","Lambertia","orbifolia","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15725"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15725</a>","<a href=""https://id.biodiversity.org.au/name/apni/54724"">https://id.biodiversity.org.au/name/apni/54724</a>","Roundleaf Honeysuckle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Pomaderris vacciniifolia","https://id.biodiversity.org.au/node/apni/2891881","Pomaderris vacciniifolia","Rhamnaceae",,"Reisseck","4256","-","Rhamnaceae","Pomaderris","vacciniifolia","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4256"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4256</a>","<a href=""https://id.biodiversity.org.au/name/apni/113348"">https://id.biodiversity.org.au/name/apni/113348</a>","Round-leaf Pomaderris","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Stachystemon nematophorus","https://id.biodiversity.org.au/node/apni/2906615","Stachystemon nematophorus","Picrodendraceae",,"Halford  Henderson (2003)","81447","-","Euphorbiaceae","Stachystemon","nematophorus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81447"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81447</a>","<a href=""https://id.biodiversity.org.au/name/apni/185025"">https://id.biodiversity.org.au/name/apni/185025</a>","Three-flowered Stachystemon","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Elusor macrurus","urn:lsid:biodiversity.org.au:afd.taxon:d315deea-822c-4f2c-b439-da33d6af5fd6","Elusor macrurus","Chelidae",,"Cann and Legler, 1994","64389","-","Chelidae","Elusor","macrurus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64389"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64389</a>","-","Mary River Turtle, Mary River Tortoise","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Advena campbellii","urn:lsid:biodiversity.org.au:afd.taxon:36d382d4-ea18-42b0-a751-b8d8144e1e33","Advena campbellii","Helicarionidae",,"Gray, 1834","81250","-","Helicarionidae","Advena","campbellii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81250"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81250</a>","-","Campbell's Helicarionid Land Snail","-","-","-","Gastropoda","Yes","Animalia","-","-","-","-","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Thalassarche salvini","urn:lsid:biodiversity.org.au:afd.taxon:39c1c71b-71ec-497a-8f1d-afb0d57158d1","Thalassarche salvini","Diomedeidae",,"(Rothschild, 1893)","64463","-","Diomedeidae","Thalassarche","salvini","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64463"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64463</a>","-","Salvin's Albatross","-","-","-","Aves","Yes","Animalia","-","-","-","-","-","Vulnerable","Yes","Yes","Yes","-","Yes","Yes","Yes","-","-","-","Yes","2019-Jul-04"
"Megascolides australis","urn:lsid:biodiversity.org.au:afd.taxon:301ed996-2d89-41a7-92fb-c5d7e5709f9c","Megascolides australis","Megascolecidae",,"-","64420","-","Megascolecidae","Megascolides","australis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64420"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64420</a>","-","Giant Gippsland Earthworm","-","-","-","Oligochaeta","-","Animalia","-","-","-","-","-","Vulnerable","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Gingidia rupicola","https://id.biodiversity.org.au/node/apni/6904884","Gingidia rupicola","Apiaceae",,"I.Telford  J.J.Bruhl","86880","-","Apiaceae","Gingidia","rupicola","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86880"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86880</a>","<a href=""https://id.biodiversity.org.au/name/apni/244542"">https://id.biodiversity.org.au/name/apni/244542</a>","Mountain Angelica, Broad-leafed Carrot","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Zieria obovata","https://id.biodiversity.org.au/node/apni/2917229","Zieria obovata","Rutaceae",,"(C.T.White) J.A.Armstrong","56758","-","Rutaceae","Zieria","obovata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56758"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56758</a>","<a href=""https://id.biodiversity.org.au/name/apni/121934"">https://id.biodiversity.org.au/name/apni/121934</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Pteropus poliocephalus","urn:lsid:biodiversity.org.au:afd.taxon:7065d246-3017-4768-9c8f-8c58c0e538c1","Pteropus poliocephalus","Pteropodidae",,"Temminck, 1825","186","-","Pteropodidae","Pteropus","poliocephalus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=186"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=186</a>","-","Grey-headed Flying-fox","-","Yes","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","Yes","Yes","Yes","-","-","-","Yes","-","-","-","Yes","2019-Jul-04"
"Caladenia gladiolata","https://id.biodiversity.org.au/node/apni/2913185","Caladenia gladiolata","Orchidaceae",,"R.S.Rogers","8079","-","Orchidaceae","Caladenia","gladiolata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8079"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8079</a>","<a href=""https://id.biodiversity.org.au/name/apni/91520"">https://id.biodiversity.org.au/name/apni/91520</a>","Bayonet Spider-orchid, Clubbed Spider-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Liopholis guthega","urn:lsid:biodiversity.org.au:afd.taxon:740f5037-a04b-46c1-9113-894a159dacd3","Liopholis guthega","Scincidae",,"(Donnellan, Hutchinson, Dempsey  Osborne, 2002)","83079","-","Scincidae","Liopholis","guthega","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83079"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83079</a>","-","Guthega Skink","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Endangered","Yes","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Adclarkia dulacca","urn:lsid:biodiversity.org.au:afd.taxon:505821b2-3e0d-4749-9cb5-9499e16b46f3","Adclarkia dulacca","Camaenidae",,"Stanisic, 2010","83885","-","Camaenidae","Adclarkia","dulacca","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83885"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83885</a>","-","Dulacca Woodland Snail","-","-","-","Gastropoda","-","Animalia","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Xanthostemon formosus","https://id.biodiversity.org.au/node/apni/2897312","Xanthostemon formosus","Myrtaceae",,"Peter G.Wilson","21816","-","Myrtaceae","Xanthostemon","formosus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21816"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21816</a>","<a href=""https://id.biodiversity.org.au/name/apni/117195"">https://id.biodiversity.org.au/name/apni/117195</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Neopasiphae simplicior","urn:lsid:biodiversity.org.au:afd.taxon:d8f21370-8c42-4648-92ab-88061c583fea","Neopasiphae simplicior","Colletidae",,"Michener, 1965","66821","-","Colletidae","Neopasiphae","simplicior","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66821"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66821</a>","-","A native bee","-","-","-","Insecta","-","Animalia","-","-","-","-","-","Critically Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Duma horrida subsp. abdita","https://id.biodiversity.org.au/node/apni/2903250","Duma horrida subsp. abdita","Polygonaceae",,"-","87538","(K.L.Wilson) T.M.Schust.","Polygonaceae","Duma","horrida","abdita","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87538"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87538</a>","<a href=""https://id.biodiversity.org.au/name/apni/235406"">https://id.biodiversity.org.au/name/apni/235406</a>","Remote Thorny Lignum","-","-","subsp.","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Coprosma baueri","https://id.biodiversity.org.au/node/apni/2896764","Coprosma baueri","Rubiaceae",,"Endl.","37851","-","Rubiaceae","Coprosma","baueri","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37851"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37851</a>","<a href=""https://id.biodiversity.org.au/name/apni/78799"">https://id.biodiversity.org.au/name/apni/78799</a>","Coastal Coprosma","-","-","-","Magnoliopsida","Yes","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Acacia aprica","https://id.biodiversity.org.au/node/apni/2903843","Acacia aprica","Fabaceae",,"Maslin  A.R.Chapman","64821","-","Fabaceae","Acacia","aprica","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821</a>","<a href=""https://id.biodiversity.org.au/name/apni/149911"">https://id.biodiversity.org.au/name/apni/149911</a>","Blunt Wattle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Persoonia micranthera","https://id.biodiversity.org.au/node/apni/7829750","Persoonia micranthera","Proteaceae",,"P.H.Weston","64939","-","Proteaceae","Persoonia","micranthera","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64939"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64939</a>","<a href=""https://id.biodiversity.org.au/name/apni/164557"">https://id.biodiversity.org.au/name/apni/164557</a>","Small-flowered Snottygobble","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631)","https://id.biodiversity.org.au/node/apni/2891466","Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631)","Apiaceae",,"-","82019","WA Herbarium","Apiaceae","Apium","prostratum","Porongurup Range (G.J.Keighery 8631)","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82019"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82019</a>","<a href=""https://id.biodiversity.org.au/name/apni/194490"">https://id.biodiversity.org.au/name/apni/194490</a>","Fine-leaved Apium, Porongurup Celery","-","-","subsp.","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Hakea pulvinifera","https://id.biodiversity.org.au/node/apni/2917559","Hakea pulvinifera","Proteaceae",,"L.A.S.Johnson","14228","-","Proteaceae","Hakea","pulvinifera","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14228"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14228</a>","<a href=""https://id.biodiversity.org.au/name/apni/54769"">https://id.biodiversity.org.au/name/apni/54769</a>","Lake Keepit Hakea","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Daviesia laevis","https://id.biodiversity.org.au/node/apni/2910689","Daviesia laevis","Fabaceae",,"Crisp","55052","-","Fabaceae","Daviesia","laevis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55052"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55052</a>","<a href=""https://id.biodiversity.org.au/name/apni/117415"">https://id.biodiversity.org.au/name/apni/117415</a>","Grampians Bitter-pea","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Androcalva rosea","https://id.biodiversity.org.au/node/apni/2902836","Androcalva rosea","Malvaceae",,"(S.A.J.Bell  L.M.Copel.) C.F.Wilkins  Whitlock","86861","-","Malvaceae","Androcalva","rosea","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86861"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86861</a>","<a href=""https://id.biodiversity.org.au/name/apni/236042"">https://id.biodiversity.org.au/name/apni/236042</a>","Sandy Hollow Commersonia","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Leionema sympetalum","https://id.biodiversity.org.au/node/apni/2899491","Leionema sympetalum","Rutaceae",,"(Paul G.Wilson) Paul G.Wilson","64927","-","Rutaceae","Leionema","sympetalum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64927"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64927</a>","<a href=""https://id.biodiversity.org.au/name/apni/154769"">https://id.biodiversity.org.au/name/apni/154769</a>","Rylstone Bell","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Bossiaea oligosperma","https://id.biodiversity.org.au/node/apni/2901838","Bossiaea oligosperma","Fabaceae",,"A.Lee","10059","-","Fabaceae","Bossiaea","oligosperma","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10059"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10059</a>","<a href=""https://id.biodiversity.org.au/name/apni/62677"">https://id.biodiversity.org.au/name/apni/62677</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Malurus leucopterus leucopterus","urn:lsid:biodiversity.org.au:afd.taxon:f6b84a97-f9cd-43ec-a0d8-02dfb8517095","Malurus (Musciparus) leucopterus leucopterus","Maluridae",,"-","26004","Dumont, 1824","Maluridae","Malurus","leucopterus","leucopterus","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26004"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26004</a>","-","White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren","-","-","-","Aves","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Calyptorhynchus baudinii","urn:lsid:biodiversity.org.au:afd.taxon:f9f8045a-bdb8-4523-ab7c-3812a0683102","Calyptorhynchus (Zanda) baudinii","Cacatuidae",,"Lear, 1832","769","-","Cacatuidae","Calyptorhynchus","baudinii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=769"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=769</a>","-","Baudin's Cockatoo, Long-billed Black-Cockatoo","-","-","-","Aves","-","Animalia","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Prasophyllum goldsackii","https://id.biodiversity.org.au/node/apni/2904487","Prasophyllum goldsackii","Orchidaceae",,"J.Weber  R.Bates","2380","-","Orchidaceae","Prasophyllum","goldsackii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2380"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2380</a>","<a href=""https://id.biodiversity.org.au/name/apni/104842"">https://id.biodiversity.org.au/name/apni/104842</a>","Goldsack's Leek-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Diuris venosa","https://id.biodiversity.org.au/node/apni/2896413","Diuris venosa","Orchidaceae",,"Rupp","6425","-","Orchidaceae","Diuris","venosa","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6425"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6425</a>","<a href=""https://id.biodiversity.org.au/name/apni/96950"">https://id.biodiversity.org.au/name/apni/96950</a>","Veined Doubletail, Goat Orchid, Veined Donkey-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Petrogale xanthopus celeris","urn:lsid:biodiversity.org.au:afd.taxon:6c20d30b-19dd-48db-8e42-05df46c13cc7","Petrogale xanthopus celeris","Macropodidae",,"-","87608","Le Souef, 1924","Macropodidae","Petrogale","xanthopus","celeris","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87608"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87608</a>","-","Yellow-footed Rock-wallaby (central-western Queensland)","-","-","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Leptomeria dielsiana","https://id.biodiversity.org.au/node/apni/2910840","Leptomeria dielsiana","Santalaceae",,"Pilger","5146","-","Santalaceae","Leptomeria","dielsiana","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5146"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5146</a>","<a href=""https://id.biodiversity.org.au/name/apni/61604"">https://id.biodiversity.org.au/name/apni/61604</a>","Diels' Currant Bush","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Ozothamnus tesselatus","https://id.biodiversity.org.au/node/apni/2901035","Ozothamnus tesselatus","Asteraceae",,"(Maiden  Baker) Anderb.","56203","-","Asteraceae","Ozothamnus","tesselatus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56203"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56203</a>","<a href=""https://id.biodiversity.org.au/name/apni/118698"">https://id.biodiversity.org.au/name/apni/118698</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
